iter	Logloss
0	0.6732751185
1	0.6549416621
2	0.6384389507
3	0.6238727054
4	0.6099437872
5	0.5968480732
6	0.5843085212
7	0.5730260717
8	0.5623630019
9	0.5527762528
10	0.5440729814
11	0.5366885473
12	0.5291328161
13	0.5223727894
14	0.5160357642
15	0.5104224821
16	0.505122475
17	0.5003834038
18	0.4957958365
19	0.4913977364
20	0.48700928
21	0.4832331656
22	0.4796652932
23	0.4766012456
24	0.4737261556
25	0.4707625539
26	0.4681224374
27	0.4654926463
28	0.4631550062
29	0.4608812582
30	0.4588499241
31	0.4571335316
32	0.4552637326
33	0.4536446177
34	0.4518839222
35	0.4503383603
36	0.4490594752
37	0.4477344793
38	0.4465813156
39	0.4454416899
40	0.4443340555
41	0.4432299129
42	0.4423282763
43	0.4413948968
44	0.4403322933
45	0.4394158142
46	0.438539444
47	0.4377798137
48	0.4369161695
49	0.4361392749
50	0.435527002
51	0.4348746909
52	0.4342968462
53	0.4337152405
54	0.4331780702
55	0.432734577
56	0.4322511174
57	0.4317195838
58	0.4312558676
59	0.4308210056
60	0.430364566
61	0.4299060884
62	0.4295149588
63	0.4290558838
64	0.4286218982
65	0.4282628649
66	0.4279327309
67	0.4275944307
68	0.4273141521
69	0.4270031341
70	0.4267337624
71	0.4264211123
72	0.4261593556
73	0.425884129
74	0.4256298426
75	0.4253704117
76	0.4251644708
77	0.4249488131
78	0.4247226996
79	0.4244940842
80	0.4243111469
81	0.4240993989
82	0.4238638686
83	0.4236493106
84	0.423480554
85	0.4232793224
86	0.4230743595
87	0.4229074189
88	0.4227044949
89	0.4224899483
90	0.42232877
91	0.4221774109
92	0.4219935682
93	0.4218002795
94	0.4216680077
95	0.4214973075
96	0.4213489268
97	0.4212039307
98	0.4210216811
99	0.4208812072
100	0.4206739844
101	0.4205240537
102	0.4204056403
103	0.4203144636
104	0.420195329
105	0.4200714929
106	0.4199198244
107	0.4197856455
108	0.4196479227
109	0.4195231468
110	0.4193753619
111	0.4192315013
112	0.4190330545
113	0.4188803903
114	0.4187455517
115	0.4186233285
116	0.4184965958
117	0.4183517055
118	0.4182080476
119	0.4180869221
120	0.4180821028
121	0.4179957767
122	0.4179815527
123	0.4178559264
124	0.4177239047
125	0.4175930745
126	0.4175759027
127	0.4175121499
128	0.4174883527
129	0.417359363
130	0.4173544876
131	0.4173131666
132	0.4171968589
133	0.417054863
134	0.4169320022
135	0.4168288338
136	0.4166972586
137	0.416691068
138	0.4165620407
139	0.4165511328
140	0.4164394232
141	0.4163073756
142	0.4162008685
143	0.4161929917
144	0.4160855091
145	0.4159845266
146	0.4159759986
147	0.4158501408
148	0.415726502
149	0.415616808
150	0.4154940478
151	0.4154794665
152	0.415362759
153	0.4153542231
154	0.4153486875
155	0.4152305507
156	0.4152265248
157	0.4151184652
158	0.414973323
159	0.4149079502
160	0.414822395
161	0.414810529
162	0.4148004493
163	0.4146799247
164	0.4146796057
165	0.4146754642
166	0.4146647065
167	0.4146247618
168	0.4145634333
169	0.4144110362
170	0.4143089128
171	0.4141500968
172	0.4140539139
173	0.4139287356
174	0.4138481076
175	0.4137592764
176	0.4137540005
177	0.4137463537
178	0.4137385581
179	0.4136298696
180	0.41351391
181	0.4134360003
182	0.4133386954
183	0.4132811479
184	0.4132775637
185	0.4131839157
186	0.4130692088
187	0.4129759345
188	0.4129719404
189	0.412886417
190	0.4128801192
191	0.4128650816
192	0.4127220474
193	0.412642085
194	0.4125529609
195	0.4124133985
196	0.4123614965
197	0.4123169143
198	0.4122032865
199	0.4121341263
200	0.4120414161
201	0.4120110922
202	0.4119334858
203	0.411836669
204	0.411833458
205	0.4117183208
206	0.4117037595
207	0.4117006163
208	0.4116021954
209	0.4114952629
210	0.41146125
211	0.41145069
212	0.4114411734
213	0.4113138115
214	0.411309727
215	0.4112193328
216	0.4110865577
217	0.4109942908
218	0.4109746511
219	0.4109718809
220	0.410917057
221	0.4109134797
222	0.4108122155
223	0.4108094613
224	0.4106948474
225	0.410606063
226	0.410551055
227	0.4104746267
228	0.4103870125
229	0.4103020697
230	0.4102506766
231	0.4101633513
232	0.4101608556
233	0.410048311
234	0.4099836068
235	0.409981293
236	0.4099790298
237	0.4099766832
238	0.4098935962
239	0.4098913069
240	0.4097659269
241	0.4096638931
242	0.4095931828
243	0.4095547838
244	0.4094624652
245	0.4093526116
246	0.4093465765
247	0.4092247022
248	0.4091616417
249	0.409136933
250	0.4091066071
251	0.4090322023
252	0.4089235563
253	0.4089212143
254	0.4088217875
255	0.4087533875
256	0.4087015834
257	0.4086917878
258	0.4086364817
259	0.4086012939
260	0.4085993589
261	0.4085975509
262	0.4085949675
263	0.4085666042
264	0.4085204029
